설치장소,설치목적,촬영범위,촬영시간,녹화물보관기간,관리책임자,카메라번호,검색용주소,latitude,longitude,좌표변환상태
"경상남도 창원시 성산구 동산로72번길 2, 경상남도 창원시 성산구_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,"경상남도 창원시 성산구 동산로72번길 2, 경상남도 창원시 성산구",35.2155322751228,128.687706545857,성공
경상남도 창원시 성산구 상남동 45-2 (중앙체육공원 내),방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 상남동 45-2,35.2150061098107,128.691395434717,성공
경상남도 창원시 성산구 상남동 507-2_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 상남동 507-2,35.2135464121723,128.691936616567,성공
경상남도 창원시 성산구 상남동 507-2_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 상남동 507-2,35.2135464121723,128.691936616567,성공
경상남도 창원시 성산구 토월로44번길 11_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 토월로44번길 11,35.216070662078,128.682599466995,성공
경상남도 창원시 성산구 토월로44번길 11_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 토월로44번길 11,35.216070662078,128.682599466995,성공
경상남도 창원시 성산구 단정로58번길 6_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 단정로58번길 6,35.2179228590563,128.685688148632,성공
경상남도 창원시 성산구 단정로58번길 6_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 단정로58번길 6,35.2179228590563,128.685688148632,성공
경상남도 창원시 성산구 단정로58번길 6_3,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,3,경상남도 창원시 성산구 단정로58번길 6,35.2179228590563,128.685688148632,성공
"경상남도 창원시 성산구 정동로162번길 74, (남산동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 정동로162번길 74,35.2008296647984,128.697922577989,성공
