경로당명,도로명주소
 두산위브경로당 ,"경상남도 창원시 의창구 도계로135(명서동, 주민복지동1층)"
 상강한주맨션경로당 ,경상남도 창원시 의창구 도계로 73번길 17(도계동)
 동부 경로당 ,경상남도 창원시 의창구 봉곡로111번길 35
 봉곡 경로당 ,경상남도 창원시 의창구 봉곡로 24번길 9-20 (봉곡동)
 봉곡복지경로당 ,경상남도 창원시 의창구 창이대로 165번길 7 (봉곡동)
 봉덕 경로당 ,경상남도 창원시 의창구 봉곡로 120번길 28-10 (봉곡동)
 봉촌 경로당 ,경상남도 창원시 의창구 지귀로 73번길 8-27 (봉곡동)
 사림제1경로당 ,경상남도 창원시 의창구 창이대로 343번길 94-9 (사림동)
 사림제2경로당 ,경상남도 창원시 의창구 사림로 16번길 27 (사림동)
 연덕 경로당 ,경상남도 창원시 의창구 봉곡로 68번길 16 (봉곡동)
 웅남 경로당 ,경상남도 창원시 의창구 사림로 71번길 18 (사림동)
정병산 경로당,경상남도 창원시 의창구 용지로 281번길 10 (사림동)
지귀 경로당,경상남도 창원시 의창구 봉곡로 3번길 15 (봉곡동)
코오롱아파트경로당,"경상남도 창원시 의창구 지귀로95번길 7 (봉곡동,코오롱아파트)102동 1층"
피닉스포레경로당,"경상남도 창원시 의창구 대봉로 27, 305동 맞은편 (봉림동,LH피닉스포레)"
휴먼시아1단지경로당,"경상남도 창원시 의창구 소봉로 50,103동 1층내 (봉림동,봉림휴먼시아1단지)"
휴먼시아2단지경로당,"경상남도 창원시 의창구 대봉로 25, 204동 1층 (봉림동,봉림휴먼시아2단지)"
까치1차A 경로당,경상남도 창원시  성산구 창원천로 254
 까치2차A 경로당 ,경상남도 창원시  성산구 창원천로 256
노블파크A 경로당,경상남도 창원시  성산구 원이대로 449
대동A 경로당,경상남도 창원시  성산구 창원천로 292
럭키A 경로당,경상남도 창원시  성산구 반송로 105
반지경로당,경상남도 창원시  성산구 창원천로188번길 23-1
반지제2경로당,경상남도 창원시  성산구 반지로4번길 29-19
반지제3경로당,경상남도 창원시  성산구 반지로 58
반지제4경로당,경상남도 창원시  성산구 창원천로162번길 14
 트리비앙A 경로당 ,경상남도 창원시  성산구 원이대로 495
 현대건설A 경로당 ,경상남도 창원시  성산구 반송로 177
현대산업A 경로당,경상남도 창원시  성산구 외동반림로 219
내동아파트경로당,"경상남도 창원시  성산구 삼동로128번길 60,5동 109호(내동, 내동아파트)"
내동그라미아파트경로당,"경상남도 창원시  성산구 연덕로184번길 23(내동,내동그라미아파트)"
대호타워아파트경로당,"경상남도 창원시  성산구 상남로24번길 15(상남동,대호타워아파트)"
동성샛별아파트경로당,"경상남도 창원시  성산구 연덕로184번길 1(내동,동성샛별아파트)"
외동경로당,경상남도 창원시  성산구 용지로21번길 30(중앙동)
외동월드메르디앙경로당,"경상남도 창원시  성산구 창원대로780번길 32(외동, 월드메르디앙아파트)"
장수경로당,경상남도 창원시  성산구 외동반림로134번길 15(중앙동)
중앙경로당,경상남도 창원시  성산구 원이대로566번길 27-25(중앙동)
중앙제1경로당,경상남도 창원시  성산구 원이대로580번길 31(중앙동)
송죽경로당,경상남도 창원시  성산구 외동반림로46번길 17(중앙동)
내동월드메르디앙아파트경로당,"경상남도 창원시  성산구 삼동로128번길 24(내동,월드메르디앙아파트)"
상남꿈에그린아파트경로당,"경상남도 창원시  성산구 토월로27번길 18(상남동, 꿈에그린아파트)"
대원경로당,경상남도 창원시  성산구 대원로27번길 30 (대원동)
대원파크빌 경로당,"경상남도 창원시  성산구삼동로 121 (대원동, 대원파크빌아파트)"
대동1차(아)경로당,"경상남도 창원시  성산구 창원대로 548 (대원동, 대동1차아파트)"
대동2차(아)경로당,"경상남도 창원시  성산구 창원대로 538 (대원동, 대동2차아파트)"
The City7 자이 경로당,"경상남도 창원시  성산구 창원천로 94번길 19 (대원동, 더시티세븐아파트)"
대원포레나경로당,"경상남도 창원시  성산구 창원천로 34(대원동, 대원포레나아파트)"
 용호경로당 ,경상남도 창원시  성산구 창이대로 440번길 17(용호동)
 용지경로당 ,"경상남도 창원시  성산구 용지로239번길 19-4(용호동,용지동행정복지센터)"
 일동아파트 1단지 경로당 ,"경상남도 창원시  성산구 외동반림로 216(용호동,일동아파트 1단지)"
 일동아파트 2단지 경로당 ,"경상남도 창원시  성산구 외동반림로 216(용호동,일동아파트 2단지)"
 무학아파트 1단지 경로당 ,"경상남도 창원시  성산구 외동반림로 200(용호동, 무학아파트 1단지)"
 무학아파트 2단지 경로당 ,"경상남도 창원시  성산구 외동반림로 200(용호동, 무학아파트 2단지)"
 롯데아파트경로당 ,"경상남도 창원시  성산구 용지로 229(용호동, 롯데아파트)"
 신월제1경로당 ,경상남도 창원시  성산구 신사로21번길 36(신월동)
 신월제2경로당 ,경상남도 창원시  성산구 신월로 71번길14(신월동)
 신월은아아파트 경로당 ,"경상남도 창원시  성산구 원이대로 663(신월동,은아아파트)"
 용지아이파크경로당 ,"경상남도 창원시  성산구 원이대로579번길 13(용호동,용지아이파크아파트)"
 용지더샵레이크파크경로당 ,"경상남도 창원시  성산구 외동반림로156(용호동, 용지더샵레이크파크)"
 성원1단지경로당 ,경상남도 창원시  성산구 원이대로 774 성원아파트 1단지
 성원2단지경로당 ,경상남도 창원시  성산구 원이대로 774 성원아파트 2단지
 성원3단지1경로당 ,경상남도 창원시  성산구 원이대로 774 성원아파트 3단지
 성원3단지2경로당 ,경상남도 창원시  성산구 원이대로 774 성원아파트 3단지
 성원5단지1경로당 ,경상남도 창원시  성산구 원이대로 774 성원아파트 5단지
