경로당명,도로명주소,지오코딩용주소,위도,경도,검색결과주소,매칭점수
우림필유아파트경로당,"경상남도 창원시  진해구 해원로 45(석동, 진해석동우림필유)",경상남도 창원시 진해구 해원로 45,35.156388653049,128.694712141852,경상남도 창원시 진해구 석동 해원로 45,100.0
석동푸르지오경로당,"경상남도 창원시  진해구 진해대로 727(석동, 진해석동푸르지오)",경상남도 창원시 진해구 진해대로 727,35.160902643186,128.695976551946,경상남도 창원시 진해구 석동 진해대로 727,100.0
석동자이아파트경로당,"경상남도 창원시  진해구 동진로21번길 26(석동, 지에스진해자이아파트)",경상남도 창원시 진해구 동진로21번길 26,35.155861640887,128.699310202477,경상남도 창원시 진해구 석동 동진로21번길 26,100.0
창원석동LH아파트경로당,"경상남도 창원시  진해구 냉천로 125(석동, 창원석동LH아파트)",경상남도 창원시 진해구 냉천로 125,35.155067120285,128.709350213739,경상남도 창원시 진해구 석동 냉천로 125,100.0
 구이동경로당 ,경상남도 창원시  진해구 이동로59번길 6,경상남도 창원시 진해구 이동로59번길 6,35.151756184712,128.698298674402,경상남도 창원시 진해구 이동 이동로59번길 6,100.0
 구이동부녀경로당 ,경상남도 창원시  진해구 이동로59번길 6,경상남도 창원시 진해구 이동로59번길 6,35.151756184712,128.698298674402,경상남도 창원시 진해구 이동 이동로59번길 6,100.0
 신이동경로당 ,경상남도 창원시  진해구 충장로449번길 16,경상남도 창원시 진해구 충장로449번길 16,35.149407030618,128.700034398912,경상남도 창원시 진해구 이동 충장로449번길 16,100.0
 신이동부녀경로당 ,경상남도 창원시  진해구 충장로449번길 16,경상남도 창원시 진해구 충장로449번길 16,35.149407030618,128.700034398912,경상남도 창원시 진해구 이동 충장로449번길 16,100.0
 이동택지경로당 ,경상남도 창원시  진해구 충장로442번길 22-10,경상남도 창원시 진해구 충장로442번길 22-10,35.150135292276,128.695300383817,경상남도 창원시 진해구 이동 충장로442번길 22-10,100.0
 이동택지부녀경로당 ,경상남도 창원시  진해구 충장로442번길 22-10,경상남도 창원시 진해구 충장로442번길 22-10,35.150135292276,128.695300383817,경상남도 창원시 진해구 이동 충장로442번길 22-10,100.0
 남흥아파트경로당 ,경상남도 창원시  진해구 해원로 5,경상남도 창원시 진해구 해원로 5,35.153965822027,128.694366723622,경상남도 창원시 진해구 이동 해원로 5,100.0
 석동주공아파트경로당 ,경상남도 창원시  진해구 냉천로 52,경상남도 창원시 진해구 냉천로 52,35.14975747799,128.704673782319,경상남도 창원시 진해구 석동 냉천로 52,100.0
 관사경로당 ,경상남도 창원시  진해구 덕산로61번길19(자은동) 2층,경상남도 창원시 진해구 덕산로61번길19(자은동) 2층,35.147537824301,128.706204150201,경상남도 창원시 진해구 자은동 덕산로61번길 19,99.17
 관사부녀경로당 ,경상남도 창원시  진해구 덕산로61번길19(자은동) 1층,경상남도 창원시 진해구 덕산로61번길19(자은동) 1층,35.147537824301,128.706204150201,경상남도 창원시 진해구 자은동 덕산로61번길 19,99.17
 하구경로당 ,경상남도 창원시  진해구 자은로78번길4(자은동) 1층,경상남도 창원시 진해구 자은로78번길4(자은동) 1층,35.152029602394,128.709549032482,경상남도 창원시 진해구 자은동 자은로78번길 4,99.13
 하구부녀경로당 ,경상남도 창원시  진해구 자은로78번길4(자은동) 1층,경상남도 창원시 진해구 자은로78번길4(자은동) 1층,35.152029602394,128.709549032482,경상남도 창원시 진해구 자은동 자은로78번길 4,99.13
 냉천경로당 ,경상남도 창원시  진해구 냉천로129번길17(자은동) 1층,경상남도 창원시 진해구 냉천로129번길17(자은동) 1층,35.155641951205,128.70971801165,경상남도 창원시 진해구 석동 냉천로129번길 17,99.2
 냉천부녀경로당 ,경상남도 창원시  진해구 냉천로129번길17(자은동) 1층,경상남도 창원시 진해구 냉천로129번길17(자은동) 1층,35.155641951205,128.70971801165,경상남도 창원시 진해구 석동 냉천로129번길 17,99.2
 벚꽃마을아파트경로당 ,"경상남도 창원시  진해구 진해대로921번길10(자은동,벚꽃마을아파트)","경상남도 창원시 진해구 진해대로921번길10(자은동,벚꽃마을아파트)",35.146809059729,128.709527323353,경상남도 창원시 진해구 자은동 진해대로921번길 10,97.74
 벚꽃마을아파트부녀경로당 ,"경상남도 창원시  진해구 진해대로921번길10(자은동,벚꽃마을아파트)","경상남도 창원시 진해구 진해대로921번길10(자은동,벚꽃마을아파트)",35.146809059729,128.709527323353,경상남도 창원시 진해구 자은동 진해대로921번길 10,97.74
 성원아파트경로당 ,"경상남도 창원시  진해구 냉천로108번길6(자은동,성원아파트)","경상남도 창원시 진해구 냉천로108번길6(자은동,성원아파트)",35.153184413,128.707534001,자은동-성원아파트,100.0
 대동빌라트경로당 ,"경상남도 창원시  진해구 냉천로88(자은동,대동빌라트아파트)","경상남도 창원시 진해구 냉천로88(자은동,대동빌라트아파트)",35.151589594386,128.70768196355,경상남도 창원시 진해구 자은동 냉천로 88,96.92
 삼성아파트경로당 ,"경상남도 창원시  진해구 자은로64번길40(자은동,삼성아파트)","경상남도 창원시 진해구 자은로64번길40(자은동,삼성아파트)",35.147923056571,128.708459887984,경상남도 창원시 진해구 자은동 자은로64번길 40,98.15
 월드메르디앙아파트경로당 ,"경상남도 창원시  진해구 자은로64번가길26(자은동,월드메르디앙아파트)","경상남도 창원시 진해구 자은로64번가길26(자은동,월드메르디앙아파트)",35.15094431357,128.712162509892,경상남도 창원시 진해구 자은동 자은로64번가길 26,97.19
 자은프라임아파트경로당 ,"경상남도 창원시  진해구 냉천로 257(자은동,엘에이치자은프라임)",경상남도 창원시 진해구 냉천로 257,35.153069964216,128.720165970139,경상남도 창원시 진해구 자은동 냉천로 257,100.0
 자은프라임아파트부녀경로당 ,"경상남도 창원시  진해구 냉천로 257(자은동,엘에이치자은프라임)",경상남도 창원시 진해구 냉천로 257,35.153069964216,128.720165970139,경상남도 창원시 진해구 자은동 냉천로 257,100.0
 천년나무아파트경로당 ,"경상남도 창원시  진해구 냉천로 192(자은동,천년나무아파트)",경상남도 창원시 진해구 냉천로 192,35.15591679381,128.717373036182,경상남도 창원시 진해구 자은동 냉천로 192,100.0
 에일린의뜰아파트경로당 ,"경상남도 창원시  진해구 냉천로 235(자은동,창원자은에일린의뜰)",경상남도 창원시 진해구 냉천로 235,35.154925885217,128.721444042735,경상남도 창원시 진해구 자은동 냉천로 235,100.0
 센트럴빌리지아파트경로당 ,"경상남도 창원시  진해구 냉천로 189(자은동,센트럴빌리지)",경상남도 창원시 진해구 냉천로 189,35.156476327757,128.717171870506,경상남도 창원시 진해구 자은동 냉천로 189,100.0
 자은중흥S클래스경로당 ,"경상남도 창원시  진해구 냉천로 262(자은동,자은중흥S클래스)",경상남도 창원시 진해구 냉천로 262,35.152749440238,128.718318598679,경상남도 창원시 진해구 자은동 냉천로 262,100.0
덕산동경로당,경상남도 창원시  진해구 덕산로36번길 19(풍호동),경상남도 창원시 진해구 덕산로36번길 19,35.144048773285,128.703927960575,경상남도 창원시 진해구 풍호동 덕산로36번길 19,100.0
자은동본동경로당,경상남도 창원시  진해구 진해대로979번길 6-1(자은동),경상남도 창원시 진해구 진해대로979번길 6-1,35.141549080211,128.708025286304,경상남도 창원시 진해구 자은동 진해대로979번길 6-1,100.0
자은동본동부녀경로당,경상남도 창원시  진해구 진해대로979번길 6-1(자은동),경상남도 창원시 진해구 진해대로979번길 6-1,35.141549080211,128.708025286304,경상남도 창원시 진해구 자은동 진해대로979번길 6-1,100.0
