grid_id,latitude,longitude,risk_pct,risk_score,need_cctv,need_light,need_wifi,infra_need_score,vulnerability_score
G001200,35.15034490915672,128.37335398408695,0.0,0.0,1,1,1,1.0,0.0
G001201,35.15124652578887,128.37336361862222,0.0,0.0,1,1,1,1.0,0.0
G001202,35.15214814228429,128.37337325358538,0.0,0.0,1,1,1,1.0,0.0
G001203,35.15304975864298,128.3733828889764,0.0,0.0,1,1,1,1.0,0.0
G001210,35.15936106932498,128.37345034869628,0.0,0.0,1,1,1,1.0,0.0
G001211,35.16026268458969,128.37345998751115,0.0,0.0,1,0,1,0.5072003997658586,0.0
G001212,35.161164299717676,128.3734696267541,0.0,0.0,1,1,1,1.0,0.0
G001213,35.16206591470889,128.3734792664251,0.0,0.0,1,1,1,1.0,0.0
G001214,35.16296752956335,128.37348890652422,0.0,0.0,1,1,1,1.0,0.0
G001215,35.16386914428106,128.37349854705147,0.0,0.0,1,1,1,1.0,0.0
G001259,35.119681953348426,128.37412400735093,0.0,0.0,1,1,1,1.0,0.0
G001260,35.12058357436572,128.37413363943764,0.0,0.0,1,1,1,1.0,0.0
G001261,35.12148519524631,128.37414327195216,0.0,0.0,1,1,1,1.0,0.0
G001262,35.12238681599022,128.37415290489446,0.0,0.0,1,0,1,0.5072003997658586,0.0
G001263,35.12328843659744,128.37416253826456,0.0,0.0,0,0,1,0.1780370258594738,0.0
G001264,35.124190057067985,128.3741721720625,0.0,0.0,1,1,1,1.0,0.0
G001269,35.1286981573702,128.37422034747024,0.0,0.0,1,1,1,1.0,0.0
G001270,35.12959977702055,128.3742299838355,0.0,0.0,1,0,1,0.5072003997658586,0.0
G001271,35.13050139653421,128.37423962062877,0.0,0.0,1,0,1,0.5072003997658586,0.0
G001272,35.13140301591115,128.37424925785,0.0,0.0,1,0,1,0.5072003997658586,0.0
G001273,35.132304635151385,128.37425889549925,0.0,0.0,1,0,1,0.5072003997658586,0.0
G001274,35.13320625425491,128.3742685335765,0.0,0.0,1,0,1,0.5072003997658586,0.0
G001275,35.13410787322174,128.3742781720818,0.0,0.0,1,1,1,1.0,0.0
G001276,35.13500949205184,128.37428781101514,0.0,0.0,1,1,1,1.0,0.0
